Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,22u,
"C10, C9",0603,2,1u,
"C11, C12, C13, C14, C15, C16, C17, C4, C5, C6, C7",0603,11,100n,
C3,0603,1,10u,
C8,0603,1,10n,
D1,0603,1,RED,
D11,0603,1,YELLOW,
D2,0603,1,PURPLE,
D3,0603,1,AMBER,
D4,0603,1,GREEN,
D5,0603,1,BLUE,
D6,0603,1,TEAL,
D7,0603,1,CYAN,
D8,0603,1,ORANGE,
D9,0603,1,INDIGO,
FB1,0805,1,120R,
J1,Display_128x64_096_I2C,1,Conn_01x04_Socket,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J5,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,
J7,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Socket,
R1,0603,1,5k,
"R10, R11, R12, R13, R14, R15, R16, R17, R2, R3, R9",0603,11,10k,
R4,0603,1,120,
"R5, R6",0603,2,5k1,
"R7, R8",0603,2,1k5,
SW1,SW_SPDT_PCM12,1,SW_SPDT,
SW2,SW_PUSH_6mm_H5mm,1,SW_Push,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8T6,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP2542FD,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ASCO,
